concelho,month,year,sum
Alcácer do Sal,7,2019,0.3149
Alcácer do Sal,7,2020,0.8535
Alcácer do Sal,7,2021,2.9611
Alcácer do Sal,8,2015,0.0057
Alcácer do Sal,8,2016,13.3736
Alcácer do Sal,8,2017,2.0637
Alcácer do Sal,8,2018,0.0636
Alcácer do Sal,8,2019,1.8415000000000001
Alcácer do Sal,8,2020,1.4406
Alcácer do Sal,8,2021,17.067600000000002
Alcácer do Sal,9,2015,2.43
Alcácer do Sal,9,2016,0.1958
Alcácer do Sal,9,2017,1.314
Alcácer do Sal,9,2018,0.1264
Alcácer do Sal,9,2019,0.33630000000000004
Alcácer do Sal,9,2020,1.5658
Alcácer do Sal,10,2015,0.1698
Alcácer do Sal,10,2016,2.8944
Alcácer do Sal,10,2017,1.7011
Alcácer do Sal,10,2018,8.0504
Alcácer do Sal,10,2019,0.3634
Alcácer do Sal,10,2020,1.2599
Alcácer do Sal,11,2016,0.16
Alcácer do Sal,12,2015,0.0139
Alcácer do Sal,12,2017,0.0043
Alenquer,1,2015,2.0415
Alenquer,1,2017,0.526
Alenquer,1,2018,0.06
Alenquer,1,2019,0.01
Alenquer,1,2020,0.002
Alenquer,2,2015,0.01
Alenquer,2,2016,0.093
Alenquer,2,2017,2.5728999999999997
Alenquer,2,2018,4.6850000000000005
Alenquer,2,2019,1.79
Alenquer,2,2020,0.031
Alenquer,2,2021,0.015
Alenquer,3,2015,4.43
Alenquer,3,2016,0.5850000000000001
Alenquer,3,2017,14.062
Alenquer,3,2018,0.05
Alenquer,3,2019,4.082
Alenquer,3,2020,0.065
Alenquer,3,2021,5.085
Alenquer,4,2015,6.703
Alenquer,4,2016,0.05
Alenquer,4,2017,28.9
Alenquer,4,2018,0.04
Alenquer,4,2019,0.005
Alenquer,4,2020,0.005
Alenquer,4,2021,0.1
Alenquer,5,2015,1.536
Alenquer,5,2016,4.106
Alenquer,5,2017,2.6045
Alenquer,5,2018,5.690999999999998
Alenquer,5,2019,12.362
Alenquer,5,2020,1.955
Alenquer,5,2021,0.5670000000000001
Alenquer,6,2015,8.157
Alenquer,6,2016,0.165
Alenquer,6,2017,18.2058
Alenquer,6,2018,4.124499999999999
Alenquer,6,2019,8.991
Alenquer,6,2020,0.1275
Alenquer,6,2021,1.044
Alenquer,7,2015,7.311999999999999
Alenquer,7,2016,56.92
Alenquer,7,2017,26.116000000000003
Alenquer,7,2018,2.3717736546099992
Alenquer,7,2019,16.351
Alenquer,7,2020,1.6709999999999998
Alenquer,7,2021,6.75
Alenquer,8,2015,40.990000000000016
Alenquer,8,2016,31.256000000000004
Alenquer,8,2017,31.47410000000001
Alenquer,8,2018,11.185000000000002
Alenquer,8,2019,2.2520000000000002
Alenquer,8,2020,13.068999999999999
Alenquer,8,2021,18.5945331025576
Alenquer,9,2015,27.89630000000001
Alenquer,9,2016,5.294
Alenquer,9,2017,28.57360000000001
Alenquer,9,2018,4.8675
Alenquer,9,2019,26.752000000000002
Alenquer,9,2020,22.048999999999996
Alenquer,9,2021,0.0175
Alenquer,10,2015,34.83
Alenquer,10,2016,54.139999999999986
Alenquer,10,2017,7.443999999999998
Alenquer,10,2018,11.454999999999998
Alenquer,10,2019,5.700999999999999
Alenquer,10,2020,6.33
Alenquer,11,2015,1.1900000000000002
Alenquer,11,2016,4.786
Alenquer,11,2017,14.283500000000002
Alenquer,11,2018,0.01
Alenquer,11,2020,1.08
Alenquer,12,2015,0.01
Alenquer,12,2016,0.07
Alenquer,12,2017,1.1349999999999998
Alfândega da Fé,1,2018,0.71
Alfândega da Fé,1,2019,0.07
Alfândega da Fé,1,2021,0.003
Alfândega da Fé,2,2015,0.53
Alfândega da Fé,2,2018,0.5497000000000001
Alfândega da Fé,2,2019,1.03
Alfândega da Fé,3,2015,3.452
Alfândega da Fé,3,2017,2.16
Alfândega da Fé,3,2018,0.006999999999999999
Alfândega da Fé,3,2019,14.047
Alfândega da Fé,4,2015,9.54
Alfândega da Fé,4,2016,0.08
Alfândega da Fé,4,2017,9.53
Alfândega da Fé,4,2018,2.4
Alfândega da Fé,5,2016,1.9
Alfândega da Fé,5,2017,4.14
Alfândega da Fé,5,2018,0.5
Alfândega da Fé,5,2019,13.592
Alfândega da Fé,5,2020,0.015
Alfândega da Fé,6,2015,1.25
Alfândega da Fé,6,2016,0.5
Alfândega da Fé,6,2017,1.7
Alfândega da Fé,6,2019,166.12
Alfândega da Fé,6,2020,8.38
Alfândega da Fé,6,2021,1.0699999999999998
Alfândega da Fé,7,2015,23.5616
Alfândega da Fé,7,2016,1.7
Alfândega da Fé,7,2018,0.51
Alfândega da Fé,7,2019,30.953000000000003
Alfândega da Fé,7,2020,291.252
Alfândega da Fé,7,2021,0.23
Alfândega da Fé,8,2015,0.032
Alfândega da Fé,8,2016,3.922
Alfândega da Fé,8,2017,110.811
Alfândega da Fé,8,2018,828.7608
Alfândega da Fé,8,2019,315.5799999999999
Alfândega da Fé,8,2020,0.162
Alfândega da Fé,8,2021,1.025
Alfândega da Fé,9,2015,0.0051
Alfândega da Fé,9,2016,68.9264
Alfândega da Fé,9,2017,8.524799999999999
Alfândega da Fé,9,2018,34.028999999999996
Alfândega da Fé,9,2019,25.905
Alfândega da Fé,9,2020,0.01
Alfândega da Fé,9,2021,0.001
Alfândega da Fé,10,2015,0.001
Alfândega da Fé,10,2017,94.3
Alfândega da Fé,10,2018,7.711
Alfândega da Fé,11,2017,0.46
Alfândega da Fé,11,2018,0.57
Alfândega da Fé,11,2020,1.031
Alfândega da Fé,12,2017,0.77
Alijó,1,2017,6.05
Alijó,1,2018,3.0
Alijó,2,2015,0.02
Alijó,2,2017,3.25
Alijó,2,2018,0.37
Alijó,2,2019,0.4
Alijó,2,2020,0.01
Alijó,3,2015,14.4
Alijó,3,2016,0.2
Alijó,3,2017,2.6500000000000004
Alijó,3,2018,3.5
Alijó,3,2019,0.6
Alijó,3,2020,30.0
Alijó,3,2021,0.30000000000000004
Alijó,4,2015,1.9959999999999998
Alijó,4,2016,0.05
Alijó,4,2017,336.1
Alijó,4,2018,9.575999999999999
Alijó,4,2020,1.0
Alijó,4,2021,0.015
Alijó,5,2015,10.006
Alijó,5,2018,1.781
Alijó,5,2019,0.3
Alijó,5,2021,0.07
Alijó,6,2015,1.81
Alijó,6,2016,93.3
Alijó,6,2017,168.29
Alijó,6,2018,0.2
Alijó,6,2020,1.2
Alijó,6,2021,0.02
Alijó,7,2015,6.734999999999999
Alijó,7,2016,1.58
Alijó,7,2017,4577.07
Alijó,7,2019,593.3799999999999
Alijó,7,2020,0.28
Alijó,7,2021,0.016
Alijó,8,2015,502.74999999999994
Alijó,8,2016,191.013
Alijó,8,2017,58.572
Alijó,8,2018,1.1600000000000001
Alijó,8,2019,112.056
Alijó,8,2020,973.74
Alijó,8,2021,1.3
Alijó,9,2016,4.222
Alijó,9,2017,0.040999999999999995
Alijó,9,2018,475.7387991896188
Alijó,9,2019,3.19
Alijó,9,2021,1.02
Alijó,10,2015,5.5
Alijó,10,2016,170.0
Alijó,10,2017,72.37
Alijó,10,2018,4.95
Alijó,10,2019,10.0
Alijó,10,2020,3.3
Alijó,11,2017,1.3
Alijó,12,2017,0.01
Aljezur,2,2016,0.02
Aljezur,2,2017,0.002
Aljezur,2,2018,0.3323
Aljezur,2,2020,0.3247
Aljezur,3,2017,0.2
Aljezur,3,2021,0.4857
Aljezur,4,2016,0.371
Aljezur,4,2018,0.194
Aljezur,4,2021,0.8
Aljezur,5,2015,0.0408
Aljezur,5,2016,0.4287
Aljezur,5,2018,0.06609999999999999
